Performing system checks...

System check identified no issues (0 silenced).
/usr/local/lib/python3.10/dist-packages/whitenoise/base.py:109: UserWarning: No directory at: /home/web/sempregreen/staticfiles/
  warnings.warn(f"No directory at: {root}")
August 02, 2023 - 00:31:46
Django version 4.2, using settings 'sempregreen.settings'
Starting development server at http://127.0.0.1:8000/
Quit the server with CONTROL-C.

[02/Aug/2023 02:26:15] "GET / HTTP/1.0" 302 0
[02/Aug/2023 02:26:15] "GET /dashboard HTTP/1.0" 200 56127
[02/Aug/2023 02:26:16] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 02:26:16] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 02:26:16] "GET /odds HTTP/1.0" 200 1359486
[02/Aug/2023 03:11:43] "GET /dashboard HTTP/1.0" 200 56127
[02/Aug/2023 03:11:43] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 03:11:43] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 03:11:43] "GET /odds HTTP/1.0" 200 1359486
[02/Aug/2023 03:12:05] "HEAD / HTTP/1.0" 200 0
[02/Aug/2023 03:56:40] "GET / HTTP/1.0" 302 0
[02/Aug/2023 03:56:40] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 03:56:41] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 03:56:41] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 03:56:41] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:03:53] "GET / HTTP/1.0" 200 4581
[02/Aug/2023 04:03:54] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 04:07:09] "GET / HTTP/1.0" 302 0
[02/Aug/2023 04:07:10] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:07:10] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 04:07:10] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:07:10] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 04:07:13] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 04:07:13] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:07:16] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:26:08] "GET / HTTP/1.0" 302 0
[02/Aug/2023 04:26:09] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:26:09] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 04:26:09] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:26:10] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 04:26:10] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 04:26:12] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 04:26:13] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:26:13] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:35:00] "GET / HTTP/1.0" 302 0
[02/Aug/2023 04:35:00] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:35:01] "GET /static/banner-desktop.png HTTP/1.0" 304 0
[02/Aug/2023 04:35:01] "GET /static/banner-mobile.png HTTP/1.0" 304 0
[02/Aug/2023 04:35:01] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:35:01] "GET /favicon.ico HTTP/1.0" 404 179
[02/Aug/2023 04:35:03] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 04:35:03] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:35:04] "GET /odds HTTP/1.0" 200 47326
[02/Aug/2023 04:35:14] "POST /dashboard HTTP/1.0" 302 0
[02/Aug/2023 04:35:14] "GET /dashboard HTTP/1.0" 200 56103
[02/Aug/2023 04:35:15] "GET /odds HTTP/1.0" 200 428149
[02/Aug/2023 04:35:19] "HEAD / HTTP/1.0" 200 0
